Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	210599098	248930189	26295	-0.324
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	2	12784	14208790	10605	-0.2997
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	2	14212200	14229064	60	0.7473
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	2	14232571	34450400	13144	-0.2886
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	2	34456427	34502800	48	0.2279
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	2	34511446	35750907	865	-0.3074
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	2	35752724	35762850	6	-1.7798
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	2	35762881	52514599	12002	-0.2914
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	2	52516787	52527743	8	-1.3951
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	2	52531615	64886019	7849	-0.2914
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	2	64886847	64886933	2	-3.4205
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	2	64892875	97115744	15918	-0.2888
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	2	97118174	97354015	61	0.0755
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	2	97354834	106263639	5526	-0.2838
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	2	106264257	106270799	12	-1.9331
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	2	106270952	132250622	14890	-0.2855
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	2	132252235	132364373	37	0.3239
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	2	132364566	141068363	5708	-0.2728
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	2	141069793	141477512	267	-0.6235
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	2	141477527	146103836	2778	-0.2638
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	2	146103878	146109366	26	0.3081
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	2	146120238	158929428	7617	-0.2643
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	2	158930941	158931281	2	-5.4574
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	2	158931342	218840152	36194	-0.2689
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	2	218843239	219146370	132	-1.0564
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	2	219146943	241841244	14413	-0.2868
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	2	241973315	242084107	102	-3.4886
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	2	242087148	242147305	39	-0.4855
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	3	18667	6604856	5748	-0.3007
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	3	6609441	6611645	23	-1.1869
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	3	6613391	75447882	46405	-0.309
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	3	75450448	75499583	23	0.0059
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	3	75500567	75537654	12	0.6584
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	3	75546030	75742905	52	-0.0109
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	3	75747505	99225990	10865	-0.3156
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	3	99226004	99230225	19	-1.143
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	3	99230232	115891691	9959	-0.3001
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	3	115892410	117888743	1508	-0.4199
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	3	117896817	149245160	18950	-0.3033
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	3	149245176	149253293	28	-1.1306
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	3	149253404	162795304	8262	-0.3077
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	3	162795361	162908207	67	-1.7712
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	3	162908784	173511781	6306	-0.313
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	3	173518093	173571890	26	0.4461
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	3	173582403	198169247	15351	-0.3226
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	4	12281	68395346	42008	0.6316
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	4	68416487	68422424	5	-1.1451
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	4	68429081	68663241	85	0.2994
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	4	68671070	114252544	27514	0.6401
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	4	114254167	114261019	23	1.6157
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	4	114263073	160958866	27795	0.6385
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	4	160958972	160964110	30	0.0381
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	4	160964121	171448195	6611	0.6349
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	4	171453733	171456625	12	-0.8274
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	4	171459220	172066777	391	0.6543
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	4	172067997	172068382	12	-1.7924
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	4	172074828	181009000	5706	0.6403
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	4	181010636	181238603	159	-0.109
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	4	181242754	181720041	441	0.3279
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	4	181720061	190106768	5707	0.6275
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	5	15532	698357	307	0.5789
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	5	698390	773453	27	1.4012
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	5	779745	1268242	219	0.6139
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	5	1268732	1268795	4	-0.8242
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	5	1268850	1936002	407	0.5902
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	5	1936329	16539029	11721	0.6472
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	5	16539495	17515692	631	0.5693
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	5	17601444	17630366	16	-0.2649
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	5	17636696	21449167	2322	0.6257
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	5	21451091	21452387	6	-1.6321
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	5	21454830	45906692	14857	0.6407
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	5	45915946	45962254	10	-0.0866
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	5	45973346	50146124	83	0.6337
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	5	50151472	58025819	5024	0.97
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	5	58030200	58037706	32	2.2803
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	5	58042530	104515520	26630	0.9721
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	5	104524672	104524903	4	-0.4464
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	5	104525348	115420758	7308	0.9634
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	5	115420940	115421165	5	-0.8898
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	5	115423381	152134610	23212	0.9659
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	5	152135825	152140710	15	-0.4482
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	5	152140861	154465243	1584	0.9715
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	5	154465433	154465503	2	-0.8022
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	5	154476927	156048089	1054	0.9827
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	5	156048092	156068249	21	0.2211
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	5	156073982	180947523	16528	0.9585
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	5	180951710	180991103	19	-2.127
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	5	181006225	181363319	169	0.9391
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	6	149661	254283	101	-0.3178
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	6	257353	294837	23	-1.2859
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	6	302306	381149	78	0.247
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	6	382559	31318528	21972	-0.33
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	6	31318754	31328176	5	-2.2925
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	6	31328210	31370073	25	-0.4515
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	6	31370095	31372656	6	-6.2499
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	6	31373030	33970222	1327	-0.3086
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	6	33970966	33974794	5	-2.5784
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	6	33974834	65000836	17349	-0.3187
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	6	65001506	65003899	3	-2.7839
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	6	65007491	73880906	5849	-0.3131
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	6	73882085	73882142	2	-2.9134
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	6	73882509	73891694	10	0.2235
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	6	73893839	74057237	95	-0.272
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	6	74057655	74070292	7	-1.2865
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	6	74070601	76726815	1655	-0.3123
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	6	76730151	76758214	23	0.3788
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	6	76758749	78263059	983	-0.3236
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	6	78263079	78331916	98	0.0192
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	6	78332002	80575042	1422	-0.3069
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	6	80575241	80579817	27	-2.5604
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	6	80584624	87929650	4474	-0.3246
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	6	87933354	87955703	26	-5.9384
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	6	87956301	103286954	9382	-0.327
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	6	103290101	103314186	46	-1.0934
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	6	103317595	170741917	43716	-0.3228
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	43355	4412081	2324	0.2108
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	4412180	6827447	1096	0.1389
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	6828011	8710971	1569	0.2645
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	8711802	8712047	4	-1.0429
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	8712213	8786255	55	0.2633
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	8787540	8826367	50	-0.5694
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	8833366	38228329	22113	0.2483
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	38228794	38312374	101	0.5004
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	38312418	54318812	10965	0.2369
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	54318816	54318824	5	-1.9037
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	54325795	65537770	3298	0.2185
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	65539561	78000952	5871	0.1723
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	78001470	97980107	12895	0.2367
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	97982029	97982736	3	-1.9951
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	97984459	101313284	1399	0.1599
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	101317674	101320594	4	-1.5962
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	101322320	101409205	35	0.0785
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	101416451	101416668	2	-2.2612
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	101419630	126405428	15037	0.2266
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	126405502	126406561	11	-1.0427
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	126406822	126604276	142	0.2357
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	126607677	126636978	10	0.9379
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	126638307	134100442	4522	0.2309
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	134100458	134102334	14	1.1447
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	134102393	134104753	5	0.1397
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	134105212	134105690	5	1.54
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	134110881	144176859	6313	0.2306
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	144199159	144306574	28	-0.3569
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	7	144306653	159334314	9629	0.2255
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	8	81254	2237203	1584	0.2213
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	8	2246047	2490791	77	-0.5367
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	8	2492800	6265022	5020	0.2204
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	8	6265036	6265457	5	-1.1737
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	8	6265872	6273151	16	0.0698
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	8	6273733	6275188	6	-0.8642
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	8	6278774	7082704	909	0.2006
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	8	7083080	7981051	215	0.548
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	8	7981205	39373140	22681	0.2234
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	8	39378084	39529446	59	1.16
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	8	39530780	111282065	41699	0.2244
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	8	111282237	111283031	8	1.359
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	8	111288052	143616987	22221	0.2369
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	8	143622987	143625638	9	-1.8048
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	8	143636819	145072769	501	0.1811
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	9	46587	22492890	19619	-0.3113
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	9	22501914	22502700	2	-3.0779
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	9	22509341	39481863	11280	-0.3171
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	9	39481878	41113182	111	-0.0362
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	9	41285747	41644133	26	0.4895
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	9	41644334	41646848	2	-1.9951
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	9	41666076	41725416	5	0.6112
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	9	41741096	60894341	60	-0.2148
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	9	60898630	61372855	5	-0.8124
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	9	61520021	61616425	30	0.5014
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	9	61619207	67770059	275	-0.0515
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	9	67915741	138200944	47483	-0.3151
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	10	26873	24086334	18994	-0.338
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	10	24088745	24088991	9	-2.1138
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	10	24088992	42118988	9848	-0.3307
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	10	42125733	42272195	26	0.2433
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	10	42287436	44763045	1763	-0.3182
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	10	44763657	44764969	2	-6.7959
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	10	44765034	46102822	623	-0.3204
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	10	46116169	46146452	4	0.5437
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	10	46154874	46333369	186	1.2932
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	10	46333385	46487128	69	0.5819
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	10	46489614	46489802	8	-0.1197
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	10	46491964	46522514	11	0.4723
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	10	46522571	46526280	15	-0.541
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	10	46526918	46618026	66	0.4673
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	10	46631431	46780841	3	1.434
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	10	46780844	46861289	6	0.1117
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	10	46878281	50313719	1749	-0.2217
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	10	50314164	65548951	10832	-0.318
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	10	65548979	65554688	21	-1.7659
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	10	65563037	133769379	45804	-0.3154
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	11	198510	1853837	574	-0.3746
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	11	1855487	1860026	2	-3.5671
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	11	1860100	4925249	1831	-0.3083
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	11	4925320	4955852	84	0.0665
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	11	4957152	18919323	10106	-0.3158
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	11	18927525	18940066	50	-2.5397
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	11	18940106	55608804	21619	-0.3165
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	11	55609022	55685533	51	-1.5198
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	11	55686100	63707974	4661	-0.324
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	11	63708403	67705434	1507	-0.3665
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	11	67708130	67996609	78	-0.0316
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	11	68001326	71342483	1799	-0.3766
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	11	71343784	96072527	15965	-0.3074
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	11	96072649	96072843	7	-1.9453
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	11	96084035	135074876	27798	-0.3095
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	12	51460	11066824	7217	0.6207
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	12	11068125	11104230	14	1.4989
